      Step     Time          Energy         fmax
BFGS:    0 14:58:53  -174948.482528     2631.8699
BFGS:    1 15:23:09  -175205.715956      252.8947
BFGS:    2 15:47:28  -175219.259026      145.0486
BFGS:    3 16:12:35  -175230.885604      109.9115
BFGS:    4 16:37:33  -175243.762334       32.1295
BFGS:    5 17:03:01  -175246.722105       19.2807
BFGS:    6 17:28:04  -175250.926490       11.8921
BFGS:    7 17:55:31  -175254.573238        6.4055
BFGS:    8 18:22:56  -175255.714017        6.1093
BFGS:    9 18:47:50  -175258.346465        5.1517
BFGS:   10 19:13:30  -175260.562731        5.9268
BFGS:   11 19:39:05  -175261.770664        5.5621
BFGS:   12 20:05:19  -175262.517820       12.1821
BFGS:   13 20:30:45  -175263.178566        7.2823
BFGS:   14 20:56:24  -175263.838963        6.3862
BFGS:   15 21:21:22  -175264.256442        5.5848
BFGS:   16 21:45:43  -175265.347425        5.5260
BFGS:   17 22:10:26  -175265.681848        7.3630
BFGS:   18 22:34:14  -175266.326973        4.4153
BFGS:   19 22:58:54  -175266.492523        6.3753
BFGS:   20 23:22:20  -175266.161926        5.7916
BFGS:   21 23:46:50  -175266.461090        8.2213
BFGS:   22 00:10:37  -175266.680024        6.3391
BFGS:   23 00:35:28  -175267.312420        5.1466
BFGS:   24 00:59:28  -175267.653847        5.8703
BFGS:   25 01:24:24  -175267.722783        9.6653
BFGS:   26 01:48:37  -175267.849395        4.9370
BFGS:   27 02:12:52  -175267.966161        6.8372
BFGS:   28 02:38:04  -175267.926531        3.3946
BFGS:   29 03:02:17  -175267.963774        3.2789
BFGS:   30 03:26:03  -175268.008597        9.0553
BFGS:   31 03:50:51  -175267.951668        8.0083
BFGS:   32 04:15:06  -175268.054890       10.6271
BFGS:   33 04:39:36  -175268.359675        5.2454
BFGS:   34 05:04:57  -175268.293160        4.0076
BFGS:   35 05:29:05  -175267.914309        4.4603
BFGS:   36 05:52:48  -175268.104404        4.3734
BFGS:   37 06:17:15  -175268.162873        4.9062
BFGS:   38 06:41:56  -175268.334934        7.2546
BFGS:   39 07:06:01  -175268.128086        7.6966
BFGS:   40 07:31:11  -175268.233357        5.3462
BFGS:   41 07:55:09  -175267.835834       10.5555
BFGS:   42 08:19:12  -175268.059302        3.2202
BFGS:   43 08:43:45  -175268.209639        4.8338
BFGS:   44 09:08:04  -175268.180238        6.7982
BFGS:   45 09:33:12  -175267.856813        5.4070
BFGS:   46 09:57:21  -175268.205975        4.7260
BFGS:   47 10:21:37  -175268.478696        9.6512
BFGS:   48 10:45:58  -175268.511863        5.3102
BFGS:   49 11:11:07  -175268.605741        5.9452
BFGS:   50 11:35:42  -175268.169213        8.3440
BFGS:   51 12:00:02  -175268.290357        4.2632
BFGS:   52 12:23:45  -175268.442394        7.0615
BFGS:   53 12:47:56  -175268.398317        4.0088
BFGS:   54 13:11:57  -175268.030847        7.3836
BFGS:   55 13:37:23  -175268.264167        2.8037
BFGS:   56 14:02:08  -175268.340455        3.4285
BFGS:   57 14:26:58  -175268.236682        4.2621
