     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 20:26:21  -179854.307449       2.7826       0.0000       0.1000       1.0000
Sella   1 08:02:54  -179854.284885       3.0536       0.0000       0.0650      -0.0010
Sella   2 08:12:32  -179854.313904       3.0461       0.0000       0.0423       0.0023
Sella   3 08:22:05  -179854.401199       2.8866       0.0000       0.0275       0.0196
Sella   4 08:31:37  -179854.494541       2.7417       0.0000       0.0179       0.0708
Sella   5 08:41:11  -179854.583660       2.7361       0.0000       0.0116       0.1788
Sella   6 08:50:44  -179854.661726       2.6844       0.0000       0.0116       0.3722
Sella   7 09:00:15  -179854.739145       2.5906       0.0000       0.0116       0.2322
Sella   8 09:09:45  -179854.810982       2.5256       0.0000       0.0116       0.2274
Sella   9 09:19:21  -179854.886459       2.4790       0.0000       0.0116       0.3846
Sella  10 09:28:54  -179854.964237       2.4822       0.0000       0.0116       0.3019
Sella  11 09:38:18  -179855.038633       2.4416       0.0000       0.0116       0.3022
Sella  12 09:47:54  -179855.116885       2.5010       0.0000       0.0116       0.2947
Sella  13 09:57:34  -179855.194850       2.4749       0.0000       0.0116       0.2600
Sella  14 10:07:04  -179855.275351       2.4420       0.0000       0.0116       0.4553
Sella  15 10:16:25  -179855.362086       2.4081       0.0000       0.0116       0.3928
Sella  16 10:26:00  -179855.455001       2.3662       0.0000       0.0116       0.3905
Sella  17 10:35:39  -179855.548085       2.3621       0.0000       0.0116       0.5732
Sella  18 10:45:13  -179855.639901       2.4076       0.0000       0.0116       0.5284
Sella  19 10:54:52  -179855.740968       2.3671       0.0000       0.0116       0.4356
Sella  20 11:04:33  -179855.843729       2.3201       0.0000       0.0116       0.5326
Sella  21 11:14:07  -179855.943438       2.2509       0.0000       0.0116       0.5834
Sella  22 11:23:43  -179856.040124       2.1441       0.0000       0.0116       0.6447
Sella  23 11:33:15  -179856.145797       2.0893       0.0000       0.0116       0.7845
Sella  24 11:42:47  -179856.247827       1.9803       0.0000       0.0116       0.8547
Sella  25 11:52:12  -179856.343171       1.9100       0.0000       0.0116       0.8202
Sella  26 12:01:57  -179856.434505       1.8269       0.0000       0.0116       0.6330
Sella  27 12:11:29  -179856.524545       1.7692       0.0000       0.0116       0.8813
Sella  28 12:21:02  -179856.623050       1.6809       0.0000       0.0116       0.8660
Sella  29 12:30:29  -179856.720347       1.6177       0.0000       0.0116       0.8298
Sella  30 12:40:05  -179856.810973       1.5353       0.0000       0.0116       0.9397
Sella  31 12:49:41  -179856.908538       1.4685       0.0000       0.0133       0.9662
Sella  32 12:59:14  -179857.009616       1.3744       0.0000       0.0153       0.9868
Sella  33 13:08:58  -179857.120226       1.3235       0.0000       0.0153       0.7407
Sella  34 13:18:32  -179857.235442       1.2201       0.0000       0.0153       0.9391
Sella  35 13:28:09  -179857.349188       1.1509       0.0000       0.0176       0.9835
Sella  36 13:37:42  -179857.486811       1.0849       0.0000       0.0176       0.9471
Sella  37 13:47:14  -179857.621223       1.0500       0.0000       0.0176       0.8802
Sella  38 13:56:52  -179857.745234       1.0178       0.0000       0.0203       0.9814
Sella  39 14:06:29  -179857.889336       0.9295       0.0000       0.0233       0.9758
Sella  40 14:16:09  -179858.031375       0.8154       0.0000       0.0233       0.9438
Sella  41 14:25:48  -179858.180856       0.8136       0.0000       0.0233       0.9594
Sella  42 14:35:31  -179858.317422       0.8713       0.0000       0.0268       0.9913
Sella  43 14:45:10  -179858.457566       0.8681       0.0000       0.0309       0.9676
Sella  44 14:54:49  -179858.609374       0.8376       0.0000       0.0309       0.9522
Sella  45 15:04:20  -179858.738548       0.8670       0.0000       0.0355       0.9705
Sella  46 15:14:06  -179858.881519       0.7816       0.0000       0.0408       0.9851
Sella  47 15:23:46  -179858.998179       0.7052       0.0000       0.0408       0.5521
Sella  48 15:33:28  -179859.082427       0.5656       0.0000       0.0408       0.6601
Sella  49 15:43:09  -179859.137748       0.5773       0.0000       0.0408       0.4483
Sella  50 15:52:38  -179859.179844       0.3713       0.0000       0.0408       0.5153
Sella  51 16:02:27  -179859.202882       0.3418       0.0000       0.0408       0.3304
Sella  52 16:12:07  -179859.217787       0.5012       0.0000       0.0408       0.2569
Sella  53 16:21:52  -179859.231603       0.4576       0.0000       0.0408       0.2585
Sella  54 16:31:29  -179859.241620       0.5419       0.0000       0.0408       0.2022
Sella  55 16:41:05  -179859.270564       0.4660       0.0000       0.0408       0.8762
Sella  56 16:50:48  -179859.281993       0.3114       0.0000       0.0408       0.4253
Sella  57 17:00:27  -179859.285841       0.2497       0.0000       0.0265       0.1766
Sella  58 17:10:13  -179859.293168       0.3059       0.0000       0.0265       0.5148
Sella  59 17:19:49  -179859.297497       0.2455       0.0000       0.0265       0.2752
Sella  60 17:29:28  -179859.303950       0.4030       0.0000       0.0265       0.6970
Sella  61 17:39:16  -179859.305854       0.2673       0.0000       0.0172       0.1824
Sella  62 17:48:59  -179859.312391       0.1872       0.0000       0.0172       1.0489
Sella  63 17:58:35  -179859.314470       0.3339       0.0000       0.0172       0.2442
Sella  64 18:08:17  -179859.317377       0.2414       0.0000       0.0172       0.4818
Sella  65 18:18:07  -179859.320710       0.1593       0.0000       0.0172       0.6639
Sella  66 18:27:36  -179859.321840       0.2249       0.0000       0.0172       0.3227
Sella  67 18:37:32  -179859.324065       0.2275       0.0000       0.0172       0.5639
Sella  68 18:47:19  -179859.325218       0.2291       0.0000       0.0172       0.2567
Sella  69 18:56:58  -179859.328382       0.1936       0.0000       0.0172       0.8871
Sella  70 19:06:40  -179859.329114       0.1819       0.0000       0.0112       0.1368
Sella  71 19:16:25  -179859.332389       0.1680       0.0000       0.0112       1.0461
Sella  72 19:26:06  -179859.334193       0.1599       0.0000       0.0112       0.4827
Sella  73 19:35:52  -179859.335939       0.1366       0.0000       0.0112       0.9568
Sella  74 19:45:45  -179859.337529       0.1547       0.0000       0.0112       1.1393
Sella  75 19:55:34  -179859.338681       0.1480       0.0000       0.0112       0.7288
Sella  76 20:05:16  -179859.339656       0.1374       0.0000       0.0112       0.5165
Sella  77 20:14:58  -179859.341721       0.1530       0.0000       0.0112       0.8124
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 18:20:14  -179859.341728       0.1505       0.0000       0.1000       1.0000
Sella   1 06:06:37  -179859.213699       1.4234       0.0000       0.0650      -0.0031
Sella   2 06:16:30  -179859.145724       1.5497       0.0000       0.0423      -0.0032
Sella   3 06:26:19  -179859.142489       1.4160       0.0000       0.0275      -0.0006
Sella   4 06:35:54  -179859.153833       1.4424       0.0000       0.0179       0.0049
Sella   5 06:45:27  -179859.159792       1.2587       0.0000       0.0116       0.0036
Sella   6 06:55:08  -179859.164819       1.0489       0.0000       0.0075       0.0090
Sella   7 07:04:50  -179859.173183       1.0198       0.0000       0.0049       0.0275
Sella   8 07:14:32  -179859.179808       0.9684       0.0000       0.0032       0.0504
Sella   9 07:24:16  -179859.184155       0.9238       0.0000       0.0021       0.0952
Sella  10 07:33:54  -179859.188359       0.8514       0.0000       0.0013       0.1495
Sella  11 07:43:23  -179859.191758       0.7892       0.0000       0.0013       0.3752
Sella  12 07:53:00  -179859.194698       0.7488       0.0000       0.0013       0.5194
Sella  13 08:02:37  -179859.197086       0.7006       0.0000       0.0013       0.2234
Sella  14 08:12:34  -179859.199335       0.6823       0.0000       0.0013       0.2134
Sella  15 08:22:24  -179859.201831       0.6599       0.0000       0.0013       0.3349
Sella  16 08:31:59  -179859.204257       0.6467       0.0000       0.0013       0.4172
Sella  17 08:41:39  -179859.206844       0.6314       0.0000       0.0013       0.4916
Sella  18 08:57:44  -179859.209343       0.6275       0.0000       0.0013       0.4713
Sella  19 09:07:22  -179859.212005       0.6104       0.0000       0.0013       0.4422
Sella  20 09:16:54  -179859.214555       0.6015       0.0000       0.0013       0.4195
Sella  21 09:26:38  -179859.217285       0.5976       0.0000       0.0013       0.5571
Sella  22 09:36:17  -179859.220024       0.5989       0.0000       0.0013       0.5447
Sella  23 09:45:50  -179859.222721       0.5599       0.0000       0.0013       0.4458
Sella  24 09:55:23  -179859.225220       0.5532       0.0000       0.0013       0.3530
Sella  25 10:05:01  -179859.227948       0.5360       0.0000       0.0013       0.7268
Sella  26 10:14:29  -179859.230716       0.5581       0.0000       0.0013       0.4666
Sella  27 10:24:02  -179859.233584       0.5373       0.0000       0.0013       0.7464
Sella  28 10:33:48  -179859.236632       0.5592       0.0000       0.0013       0.8091
Sella  29 10:43:38  -179859.239669       0.5613       0.0000       0.0013       0.8829
Sella  30 10:53:11  -179859.242897       0.5173       0.0000       0.0013       0.9586
Sella  31 11:02:55  -179859.246047       0.4970       0.0000       0.0015       0.9746
Sella  32 11:12:47  -179859.249803       0.4786       0.0000       0.0015       0.8656
Sella  33 11:22:27  -179859.253625       0.4725       0.0000       0.0015       0.9618
Sella  34 11:32:01  -179859.257201       0.4643       0.0000       0.0018       1.0042
Sella  35 11:41:47  -179859.261528       0.4465       0.0000       0.0018       0.8193
Sella  36 11:51:24  -179859.265428       0.4689       0.0000       0.0018       0.9569
Sella  37 12:01:12  -179859.268820       0.4135       0.0000       0.0018       0.9408
Sella  38 12:10:43  -179859.272879       0.4479       0.0000       0.0020       0.9696
Sella  39 12:20:35  -179859.276873       0.4194       0.0000       0.0020       0.9650
Sella  40 12:30:18  -179859.280909       0.4078       0.0000       0.0020       0.9568
Sella  41 12:40:01  -179859.284819       0.3676       0.0000       0.0020       0.9611
Sella  42 12:49:57  -179859.288962       0.3436       0.0000       0.0020       0.9618
Sella  43 12:59:41  -179859.292508       0.3309       0.0000       0.0020       0.9101
Sella  44 13:09:18  -179859.296320       0.3352       0.0000       0.0020       0.8774
Sella  45 13:18:56  -179859.299932       0.3066       0.0000       0.0020       0.9316
Sella  46 13:28:41  -179859.303165       0.2991       0.0000       0.0020       0.8546
Sella  47 13:38:33  -179859.306690       0.2920       0.0000       0.0020       0.9020
Sella  48 13:48:05  -179859.309795       0.2390       0.0000       0.0020       0.9009
Sella  49 13:57:41  -179859.312435       0.2412       0.0000       0.0020       0.8504
Sella  50 14:07:15  -179859.315001       0.2672       0.0000       0.0020       0.8341
Sella  51 14:17:02  -179859.316813       0.2325       0.0000       0.0020       0.8223
Sella  52 14:26:50  -179859.320019       0.2276       0.0000       0.0020       0.9487
Sella  53 14:36:29  -179859.323297       0.2423       0.0000       0.0020       0.9259
Sella  54 14:45:59  -179859.326398       0.2055       0.0000       0.0020       0.8960
Sella  55 14:55:30  -179859.329307       0.2265       0.0000       0.0020       0.9366
Sella  56 15:05:15  -179859.331766       0.2302       0.0000       0.0020       0.8982
Sella  57 15:14:45  -179859.334150       0.2083       0.0000       0.0020       0.8585
Sella  58 15:24:24  -179859.336372       0.2192       0.0000       0.0020       0.8736
Sella  59 15:34:07  -179859.337910       0.2152       0.0000       0.0020       0.8642
Sella  60 15:43:55  -179859.339706       0.2023       0.0000       0.0020       0.8524
Sella  61 15:53:34  -179859.340864       0.2056       0.0000       0.0020       0.8699
Sella  62 16:03:13  -179859.342762       0.2022       0.0000       0.0024       0.9688
Sella  63 16:12:59  -179859.344778       0.1898       0.0000       0.0024       0.8562
Sella  64 16:22:40  -179859.346407       0.1717       0.0000       0.0024       0.8334
Sella  65 16:32:27  -179859.348126       0.1772       0.0000       0.0024       0.8031
Sella  66 16:42:04  -179859.349576       0.1587       0.0000       0.0024       0.7369
Sella  67 16:51:44  -179859.350807       0.1710       0.0000       0.0024       0.7706
Sella  68 17:01:32  -179859.351075       0.1265       0.0000       0.0024       0.4386
Sella  69 17:11:03  -179859.352766       0.1399       0.0000       0.0024       0.9257
Sella  70 17:20:48  -179859.354160       0.1159       0.0000       0.0024       0.8130
Sella  71 17:30:23  -179859.355089       0.1225       0.0000       0.0024       0.8588
Sella  72 17:40:04  -179859.356901       0.1051       0.0000       0.0024       0.8152
Sella  73 17:49:50  -179859.358256       0.0915       0.0000       0.0024       0.7634
Sella  74 17:59:27  -179859.358897       0.1084       0.0000       0.0024       0.8646
Sella  75 18:09:01  -179859.359646       0.0992       0.0000       0.0024       0.7641
